사용일자	호선명	역명	승차총승객수	하차총승객수	등록일자	승하차
20180117	3호선	연신내	46380	44476	20180120	90856
20180120	4호선	혜화	43740	47114	20180123	90854
20180113	2호선	삼성(무역센터)	45072	45751	20180116	90823
20180206	경부선	영등포	44246	46469	20180209	90715
20180121	경부선	영등포	45477	45142	20180124	90619
20180203	경부선	용산	44844	45771	20180206	90615
20180208	2호선	강변(동서울터미널)	45813	44651	20180211	90464
20180129	경부선	영등포	44219	46188	20180201	90407
20180131	5호선	광화문(세종문화회관)	43821	46568	20180203	90389
20180113	2호선	서울대입구(관악구청)	46130	44143	20180116	90273
20180112	경부선	용산	45561	44696	20180115	90257
20180203	2호선	서울대입구(관악구청)	46044	44121	20180206	90165
20180207	3호선	연신내	46199	43956	20180210	90155
20180123	경부선	영등포	44194	45932	20180126	90126
20180123	2호선	교대(법원.검찰청)	42493	47560	20180126	90053
20180124	3호선	양재(서초구청)	43796	46243	20180127	90039
20180206	2호선	교대(법원.검찰청)	42434	47439	20180209	89873
20180201	3호선	연신내	46035	43628	20180204	89663
20180127	2호선	건대입구	41399	48209	20180130	89608
20180131	2호선	강변(동서울터미널)	45100	44491	20180203	89591
20180125	2호선	사당	41311	48271	20180128	89582
20180126	2호선	교대(법원.검찰청)	42132	47398	20180129	89530
20180131	3호선	연신내	46073	43447	20180203	89520
20180127	경부선	수원	42720	46766	20180130	89486
20180201	2호선	강변(동서울터미널)	45647	43715	20180204	89362
20180130	3호선	연신내	44775	44321	20180202	89096
20180119	5호선	광화문(세종문화회관)	43407	45526	20180122	88933
20180130	2호선	강변(동서울터미널)	44350	44477	20180202	88827
20180205	2호선	사당	40698	48128	20180208	88826
20180119	경인선	부천	44065	44666	20180122	88731
20180205	2호선	교대(법원.검찰청)	41866	46787	20180208	88653
20180129	2호선	강변(동서울터미널)	44735	43891	20180201	88626
20180118	3호선	연신내	45341	43142	20180121	88483
20180117	5호선	광화문(세종문화회관)	43073	45370	20180120	88443
20180125	2호선	교대(법원.검찰청)	41585	46819	20180128	88404
20180118	4호선	혜화	43332	45068	20180121	88400
20180115	3호선	연신내	45264	43106	20180118	88370
20180129	2호선	교대(법원.검찰청)	41859	46479	20180201	88338
